#********************************************************
# 【明】── 用以校勘版本
#　＝　 ── 作
#　－　 ── 無
#　＋　 ── 有
#　＊　 ── 下同
#　…　 ── 略
#　◎　 ── 異同
#　∞　 ── 位置對調
# （）　── 與＋配合使用
# 〔〕　── 與－配合使用
#　ｉ　 ── 原底本註記應作（原為日文[仁-二]）
#　ｋ　 ── 原底本註記疑似（原為日文[力]）
#　？　 ── 原校對者疑似有誤
#  ●   ── 原書印刷不清
#  ★   ── 找不到源頭的＊
#********************************************************
[000101]01  中論卷第一＝中論序【三】
[002214]14  至相似，Sa.mkrama.
[002215]15  破業，Karmavadha.
[002216]16  相似，Sabhaaga.
[002217]17  有漏，無漏，Saasrava, Anaa`srava.
[002218]18  記＋（無記）【三】
[002219]19  而＝者【三】
[002220]20  亦＝而【三】
[002301]01  則＝即【三】
[002302]02  不作，Ak.rta.
[002303]03  生＝出【三】
[002304]04  〔有〕－【三】
[002305]05  潤生＝生著【三】
[002306]06  生＝作【三】
[002307]07  第二十八偈. Avidyaa-niv.rto jantus t.r.s.naa-sa.myojanas ca sa.h, Sa bhoktaa sa ca na kartur anyo na ca sa eva sa.h.
[002308]08  即＝異【三】
[002309]09  異＝一【三】
[002310]10  〔無因無因則〕－【三】
[002311]11  〔今〕－【三】
[002312]12  變化人，Nirmitaka.
[002313]13  嚮＝響【三】
[002314]14  〔諸〕－【三】
[002315]15  炎如嚮＝響如焰【三】
<002301>＊  〔中論〕－【明】
[002316]16  觀法品，梵 AAtma-pariik.saa
[002317]17  我，AAtman.
[002318]18  陰，Skandha.
[002319]19  相，Lak.sa.na.
[002320]20  我所，AAtmiiya.
[002321]21  無我智，梵 Nirmama-niraha.mkaara.
[002401]01  諸法實相，Dharmataa.
[002402]02  第八偈（四句分別偈）, Sarva.m tathya.m na vaa tathya.m tathya.m caa 'tat yam eva ca, Nai'vaa'tathya.m naiva tathyam etad buddhaanu`saasana.m.（實, Tathya）.
[002403]03  實相，Tattva.
[002404]04  曰＝越【三】
[002405]05  〔亦〕－【三】
[002406]06  何＝況【三】
[002501]01  何＋（以）【三】
[002502]02  無＋（分）【三】
[002503]03  〔相〕－【三】
[002504]04  悲＝慈【三】
[002505]05  〔者〕－【三】
[002506]06  道＝遠【三】
<002501>＊  〔中論〕－【明】
[002507]07  觀時品，Kaala-pariik.saa.
[002508]08  過去，Atiita.
[002509]09  未來，Anaagata.
[002510]10  現在, Pratyutpanna.
[002601]01  〔應〕－【三】
[002602]02  物，Bhaava.
[002603]03  〔物〕－【三】
[002604]04  ◎卷第四終【明】
[002605]05  ◎卷第五首【明】，造號釋號譯號同異如首卷【明】，〔中論〕－【明】＊
[002606]06  觀因果品，梵 Saamagarii-pariik.saa （蕃本，Hetuphala-pariik.saa）.
[002607]07  〔故〕－【三】
[002608]08  和合，Saamagrii.
[002609]09  生＋（者）【三】
[002610]10  果生＝生果【三】
[002611]11  是＝若【三】
[002612]12  因緣＝緣中【三】
[002613]13  果＋（生）【三】
[002614]14  若因與果因，作因已而滅：若Ё因ヮ果Я因Ъ與л，因Ь作э已ШЪ滅Йд，(Hetuks.m phalasya dattva yadi hetur nirudhyate)
[002615]15  〔生〕－【三】
[002616]16  （是）＋果【三】
[002701]01  果＋（果）【三】
[002702]02  瓶名生＝生瓶名【三】
[002703]03  時＝則【三】
[002704]04  生＝法【三】
<002701>＊  〔中論〕－【明】
[002705]05  觀成壞品，Sa.mbhava-vibhava-pariik.saa.
[002706]06  俱＝則【三】
[002707]07  梵，蕃，及般若燈論此次有猶一偈
[002708]08  〔者〕－【三】
[002801]01  〔應〕－【三】
[002802]02  盡，K.saya.
[002803]03  不＝無【三】
[002804]04  性＝不【三】
[002805]05  （滅）＋盡【三】
[002806]06  成壞＝生滅【三】
[002807]07  （有）＋壞【三】
[002808]08  眼＝現【三】
[002809]09  法，梵，Bhaava.
[002810]10  失若至＝至若失【三】
[002811]11  已＝以【三】
<002801>＊  已＝以【三】
[002812]12  第十二偈（梵第十三偈）. Na svato jaayate bhaava.h parato naiva jaayate, Na svata.h parata`s ca jaayate jaayate kuta.h.
[002813]13  （不）＋共【三】
[002814]14  為常為＝若常若【三】
<002901>＊  已＝以【三】
[002901]01  （未）＋來【三】
[002902]02  〔時〕－【三】
[002903]03  （故）＋如【三】
[002904]04  〔者〕－【三】
[002905]05  ◎不分卷【明】
<002902>＊  〔梵志青目釋〕－【三】
<002903>＊  三藏＋（法師）【三】
[002906]06  ◎不分卷【明】，觀如來品，Tathagata－pariksa.
[002907]07  不＝非【三】
[003001]01  性＋（故）【三】＊
[003002]02  但＋（應）【三】，但＝應【聖】
[003003]03  性＋（故）【三】【聖】
[003004]04  得＋（故）【聖】
[003005]05  為非＝非有【三】
[003006]06  無＋（有）【三】
[003007]07  〔次〕－【三】
[003008]08  空＋（者）【三】
[003009]09  第十一偈. Suunyam iti na vak avyam a`suunyam iti va bhavet, Ubhaya.m no' bhaya.m ceti praj~naaptyartha.m tu kuthyate.
[003010]10  寂滅相，`Saanta.
[003011]11  第十三偈. Yena graaho g.rhiitas tu ghano 'sti ti tathaagata.h, Naa stiiti sa vikalpayan nirv.rtasy~api kalpa yet.
[003012]12  無福＝福無罪福報【三】
[003101]01  定＝有【宋】
[003102]02  第十六偈. Tathaagato yat svabhaavas tat svabhaava.m ida.m jagat, Tathaagato ni.hsvabhaavo ni.hsvahhaavo ida.m jagat.
[003103]03  惟＝量【三】
[003104]04  〔中論〕－【明】
[003105]05  觀顛倒品，Viparyaasapariik.saa.
[003106]06  〔二十四偈〕－【三】，（有）＋二【聖】
[003107]07  憶想分別，Sa.mkalpa.
[003108]08  貪，恚，癡，Raaga，Dve.sa，Moha.
[003109]09  淨, 不淨, `Suddha, A`suddha.
[003110]10  煩惱，Kle`sa.
[003111]11  （所）＋惱【三】
[003112]12  垢心，Kli.s.ta.
[003113]13  〔亦〕－【三】
[003114]14  無性無性＝無自性無自性【三】
[003115]15  化＋（人）【三】
[003116]16  像＋（等）【聖】
[003117]17  故＝以【三】
[003118]18  著，Graaha.
[003119]19  （著）＋法【三】
[003120]20  此著者＝有此著法【三】
[003201]01  生＝倒【三】
[003202]02  不＝無【三】
[003203]03  顛＝倒【宋】
[003204]04  若常我＝我若常【三】＊
[003205]05  常，我，樂，淨，Nitya，AAtman，Sukha，`Suci.
[003206]06  我樂＝樂我【三】＊
<003201>＊  若常我＝我若常【三】
[003207]07  者是常我＝故我是常【三】
<003202>＊  我樂＝樂我【三】
[003208]08  〔倒〕－【明】
[003209]09  名＝若【三】
[003210]10  常我＝我常【三】＊
<003203>＊  常我＝我常【三】
[003211]11  無＋（實）【三】
[003212]12  ◎卷第五終【明】
[003213]13  ◎卷第六首【明】，造號釋號譯號同異如首卷【明】，〔中論〕－【明】＊
[003214]14  觀四諦品，AArya-satya-pariik.saa.
[003215]15  四十＝三十【聖】
[003216]16  見苦，Parij~naa.
[003217]17  斷集，Prahaa.na.
[003218]18  證滅 Saak.sikarman.
[003219]19  修道，Bhaavanaa.
[003220]20  四道果，Catvaary aaryaphaani.，四道＝有四【三】
[003221]21  得，Phalastha.
[003222]22  向，Pratipannaka.
[003223]23  八賢聖，A.s.ta-puru.sa-pudgala.
[003224]24  罪，福，Adharma，Dharma.
[003225]25  世俗法，Samvyavahaara，lankika.
[003226]26  第八偈. Dve satye samupaa`srit-ya buddhaanaa.m Dharma-de`sanaa, Lokasa.mv.rt satyam ca satya.m ca paramaarthata.h.
[003227]27  世俗諦，Lokasa.mv.rti-satya.
[003228]28  第一義諦, Paramaartha-satya.
[003229]29  第九偈. Ye 'na yor navijaananti vibhaaga.m satyayor dvayo.h, Te tattva.m na vijaananti gambhiira.m buddha`saasane.
[003301]01  第十偈 Vyaavahaaram anaa`sritya paramaartho na da`syate, Paramaartham anaagamya. nirvaana.m naadhigamyate.
[003302]02  亦＋（復）【三】
[003303]03  〔復〕－【三】
[003304]04  第十四偈. Sarv.m ca yujyate tasya `suunyataa yasya yujyate, Sarva.m na yujyate tasya `suunyam yasya na yujyate.
[003305]05  第十四偈. Ya.h pratiityasmutpaada.h `suunyataa.m taa.m pracak.smahe, `saa praj~naptir upaadaaya pratipat saiva madhyamaa.（無二空, `Suunyataa; 假名 Praj~napti; 中道, Madhyamaa-pratipad.）,
[003306]06  自＝有【聖】
[003307]07  〔相〕－【聖】
[003308]08  有定＝定有【三】＊
[003309]09  滅＝失【三】
<003301>＊  有定＝定有【三】
[003310]10  不＋（可）【三】
[003311]11  證滅＝滅證【三】
[003401]01  佛＋（道）【三】
[003402]02  煉＝練【宋】【元】，煉【明】
[003403]03  定＋（有）【三】
[003404]04  作＋（作）【三】
[003405]05  應＋（有）【三】
[003406]06  即＝則【三】
<003401>＊  〔中論〕－【明】
[003407]07  觀涅槃品，Nirvaana-pariik.saa.
[003408]08  （有）＋二【聖】
[003409]09  何＝可【宋】
[003410]10  〔而〕－【三】
[003411]11  〔則〕－【三】
[003412]12  第三偈. Aprahii.nam asa.mpraaptam anucchinna.m asaasvata.m Aniruddham anutpannam etan nirvaanam ucyate.（無得，梵，無捨，Aprahii.na）
[003501]01  〔而名涅槃〕－【三】
[003502]02  理推＝涅槃【宋】
[003503]03  無＝不【三】
[003504]04  可＋（得）【三】
[003505]05  有法＝法者【三】【聖】
[003506]06  〔有〕－【三】
[003507]07  有＋（云）【三】【聖】
[003508]08  復＋（受）【三】
[003509]09  〔於〕－【三】
[003510]10  〔故〕－【三】
[003511]11  〔謂〕－【三】【聖】
[003601]01  第十九偈. Na sa.msaarasya nirvaa.naat ki.m cid asti vi`se.sa.na.m, Na nirvaa.nasya sa.msaaraat ki.m cid asti vi`se.sa.na.m.
[003602]02  是＝有【三】
<003601>＊  〔中論〕－【明】
[003603]03  觀十二因緣品，Dvaada`sa-a^nga pariik.saa.
[003604]04  癡，Avidyaa.
[003605]05  墮＝入【三】【聖】
[003606]06  行，Sa.mskaara.
[003607]07  識，Vij~naana.
[003608]08  名色，Naama-ruupa.
[003609]09  六入，Sa.d-aayatana.
[003610]10  而＝以【三】
[003611]11  觸，Sa.mspar`sa.
[003612]12  受，Vedanaa.
[003613]13  渴愛，T.r.s.naa.
[003614]14  取，Upaadaana.
[003615]15  有，Bhava.
[003616]16  生，Jaati.
[003617]17  老死，Jaraamara.na.
[003618]18  謂＝諸【聖】
[003619]19  故＋（有）【三】
<003602>＊  〔中論〕－【明】
[003620]20  觀邪見品，D.r.s.ti-pariik.saa.
[003621]21  三十一＝五十一【三】
[003622]22  不＝無【三】
[003701]01  是＝即【三】
[003702]02  諸＋（邪）【三】
[003703]03  世＝日【三】
[003704]04  即＝但【三】
[003705]05  事＋（則）【三】
[003706]06  而＝然【三】
[003707]07  今＋（世）【三】
[003708]08  旃＝栴【明】
[003709]09  〔婆〕－【三】＊
<003701>＊  〔婆〕－【三】
[003710]10  作＝為【三】
[003711]11  是＋（人）【三】
[003712]12  門＋（者）【三】
[003713]13  塈＝墼【三】
[003714]14  為＋（為）【聖】
[003715]15  治＝持【三】
[003716]16  者＋（我）【三】
[003717]17  則＋（人）【三】
[003718]18  等＋（諸）【三】
[003719]19  事＝喻【三】
[003720]20  〔有〕－【三】
[003721]21  我＋（作）【三】
[003722]22  又＝若【三】
[003801]01  桃＝萄【明】＊
<003801>＊  桃＝萄【明】
[003802]02  是＋（事）【三】【聖】
[003803]03  故＋（是故）【三】
[003804]04  有＝為【三】
[003805]05  從＝縱【宋】
[003806]06  如燈火＝若如燈【聖】
[003901]01  間＝問【宋】【元】
[003902]02  〔是事〕－【聖】
[003903]03  一＝是【三】
[003904]04  邊＋（是）【三】
[003905]05  邊＋（無邊）【三】
[003906]06  以＝已【三】＊
<003901>＊  以＝已【三】
<003902>＊  以＝已【三】
[003907]07  〔於〕－【三】
[003908]08  〔諸〕－【三】
[003909]09  則＋（有）【三】
[003910]10  ◎卷第六終【明】
[003911]11  〔義入…門〕十三字－【三】【宮】
[003912]12  〔之〕－【明】
[003913]13  廂＝箱【三】【宮】
[003914]14  [這-言+正]＝延【三】【宮】
[003915]15  在＝不【宮】
[003916]16  揮辭丙寅＝丙寅揮辭【三】
[003917]17  〔義〕－【明】
[003918]18  法門＋（第一）【三】【宮】
[003919]19  〔龍勝菩薩造〕－【宮】＊
[003920]20  〔無[差-工+目〕菩薩釋〕－【三】【宮】＊
[004001]01  捨＝取【三】
[004002]02  除＝際【元】
[004003]03  不＝無【三】【宮】
[004004]04  法＝佛【宮】
[004005]05  取＝此【三】【宮】
[004101]01  迭＝失【三】【宮】
[004102]02  雖＝唯【宮】
[004201]01  兔角＝角兔【三】【宮】
[004202]02  亦＝二【明】
[004203]03  無＝若【宮】
[004204]04  有＝角【宋】【元】【宮】
[004301]01  住＝平【三】【宮】
[004302]02  實＝真【元】【明】
[004303]03  薰＝熏【三】【宮】
[004401]01  難＝慧【宮】
[004402]02  菩提＝菩薩【明】
[004403]03  〔常〕－【明】
[004404]04  〔義入…門〕十三字－【三】【宮】
[004405]05  〔義〕－【明】
[004406]06  法門＋（第二）【三】【宮】
<004401>＊  〔龍勝菩薩造〕－【宮】
<004402>＊  〔無[差-工+目〕菩薩釋〕－【三】【宮】
[004407]07  令＝今【明】
[004501]01  依＝衣【元】
[004502]02  失＝生【明】
[004503]03  不＝為【元】
[004504]04  應＝慧【宋】
[004601]01  羞＝差【三】【宮】
[004602]02  者＝等【明】
[004603]03  〔先〕－【三】【宮】
[004604]04  義＝儀【宮】
[004701]01  如＝始【三】【宮】＊
<004701>＊  如＝始【三】【宮】
[004702]02  所＝如【三】【宮】
[004703]03  彼＝後【三】【宮】
[004704]04  斷常＝常斷【元】【明】
[004705]05  芽＝牙【三】【宮】
[004801]01  兔角＝角兔【明】
[004802]02  灌＝罐【三】【宮】
[004803]03  〔兩〕－【三】【宮】
[004804]04  廂＝箱【三】【宮】
[004805]05  〔如〕－【三】【宮】
[004806]06  言＝說【元】【明】
[004807]07  汝＋（作）【明】
[004808]08  今＝命【宮】
[004809]09  在＝住【宋】
[004810]10  名＝欲【元】【明】
[004811]11  有＝者【明】
[004812]12  明＝朋【三】【宮】＊
<004801>＊  明＝朋【三】【宮】
[004901]01  諸＝謂【宮】
[004902]02  若＝者【明】
[004903]03  不＝未【三】【宮】
[004904]04  未＝不【三】【宮】
[004905]05  非＝不【三】【宮】
[004906]06  遍＝過【三】
[004907]07  遍＝偏【明】
[004908]08  邏＝羅【明】
[005001]01  〔釋〕－【三】【宮】＊
[005002]02  〔釋慧賾述〕－【三】【宮】
[005003]03  亡＝云【宋】【元】
[005004]04  慾＝欲【三】【宮】
[005101]01  已＝亦【三】【宮】
[005102]02  詣＝旨【宮】
[005103]03  一＝包【元】【明】
[005104]04  〔羅〕－【三】【宮】
[005105]05  杙＝筏【三】【宮】
[005106]06  傳＝傅【三】【宮】
[005107]07  召＝名【宮】
[005108]08  渡＝度【三】【宮】
[005109]09  娵＝諏【三】【宮】
[005110]10  [(工*刀)/言]＝[(工*凡)/言]【宮】
[005111]11  邠＝邗【宮】
[005112]12  監＝鑒【三】【宮】
[005113]13  簫＝蕭【宮】
[005114]14  失＝矣【三】
[005115]15  乖＝乘【三】
[005116]16  破＝被【元】
[005117]17  釋觀緣品第一之一＝卷第一【明】
[005118]18  〔之一〕－【宋】【元】【宮】
[005119]19  〔卷一〕－【三】【宮】
[005120]20  （（偈本…薩））十三字＝（（龍樹菩薩偈本分別明菩薩釋論本））十四字【明】
[005121]21  論＋（本）【宋】【元】【宮】
[005122]22  （（大唐…譯））十四字＝（（唐天竺三藏法師波羅頗迦羅蜜多羅譯））十六字【三】【宮】＊
[005123]23  （釋觀緣品第一）＋普【明】
[005124]24  梨＝黎【明】
[005201]01  末＝未【三】
[005202]02  那＝耶【三】【宮】
[005203]03  惑＝或【三】【宮】
[005301]01  別求＝求別【明】
[005302]02  蔘＝參【三】【宮】
[005303]03  芽＝牙【宋】【宮】＊
[005304]04  果＝異【宮】
<005301>＊  芽＝牙【宋】【宮】
[005305]05  絲＝經【宮】
[005306]06  執＝報【宮】
[005307]07  今＝令【三】【宮】
[005308]08  行＝作【三】【宮】
[005309]09  冑＝曹【宮】
<005302>＊  芽＝牙【宋】【宮】
[005310]10  令＝全【三】【宮】
[005401]01  栴＝旃【宋】【元】【宮】＊
<005401>＊  栴＝旃【宋】【元】【宮】
[005402]02  得＝待【宋】【元】
[005403]03  立＝亦【三】【宋】
[005404]04  有＝言【宋】
[005405]05  謂＝請【宋】，諸【元】【明】
[005501]01  邏＝羅【三】【宮】
[005502]02  起＝等【宮】
[005503]03  住＝往【宮】
[005504]04  〔釋〕－【三】【宮】＊
[005505]05  〔釋〕－【三】【宮】＊
[005506]06  〔偈本…薩〕十三字－【三】【宮】＊
<005501>＊  （（大唐…譯））十四字＝（（唐天竺三藏法師波羅頗迦羅蜜多羅譯））十六字【三】【宮】
[005507]07  （釋）＋觀【三】【宮】＊
[005508]08  之＝第一之餘【明】
[005509]09  [鬻-米+曾]＋（子孕反）夾註【宋】【元】【宮】
[005510]10  集心反＝徐林反【宋】【元】【宮】，〔集心反〕－【明】
[005511]11  成＋（故）【三】【宮】
[005601]01  芽＝牙【宋】【宮】＊
[005602]02  復＝語【三】【宮】
<005601>＊  芽＝牙【宋】【宮】
[005603]03  事＝等【三】【宮】
<005602>＊  芽＝牙【宋】【宮】
<005603>＊  芽＝牙【宋】【宮】
<005604>＊  芽＝牙【宋】【宮】
[005701]01  （彼）＋果【三】【宮】
[005702]02  芽＝牙【宋】【元】【宮】
[005703]03  芽＝牙【宋】【元】【宮】
<005701>＊  芽＝牙【宋】【宮】
[005704]04  犍＝揵【三】【宮】＊
<005702>＊  犍＝揵【三】【宮】
[005705]05  因＝自【三】【宮】
[005801]01  非知＝知非【元】
<005801>＊  芽＝牙【宋】【宮】
<005802>＊  芽＝牙【宋】【宮】
[005802]02  等＝第【三】
[005803]03  聚＝法【明】
[005804]04  意＝竟【三】
[005805]05  〔以〕－【三】【宮】
<005803>＊  芽＝牙【宋】【宮】
<005804>＊  芽＝牙【宋】【宮】
[005806]06  〔於〕－【三】【宮】
[005807]07  芽＝牙【宋】【元】【宮】
<005805>＊  芽＝牙【宋】【宮】
[005901]01  酥＝蘇【宋】【元】【宮】
[005902]02  立＝二【宋】【元】
<005901>＊  芽＝牙【宋】【宮】
<005902>＊  〔釋〕－【三】【宮】
<005903>＊  〔釋〕－【三】【宮】
<005904>＊  〔偈本…薩〕十三字－【三】【宮】
<005905>＊  （（大唐…譯））十四字＝（（唐天竺三藏法師波羅頗迦羅蜜多羅譯））十六字【三】【宮】
<005906>＊  （釋）＋觀【三】【宮】
[006001]01  和＝杖【三】
[006002]02  迷＝智【元】
[006101]01  此＝比【明】
[006102]02  〔言〕－【三】【宮】
[006103]03  〔住者〕－【三】【宮】
[006201]01  [醫-酉+目]＝翳【三】【宮】
[006301]01  作＝位【三】【宮】
[006302]02  意＝是【三】
[006401]01  作＝故【三】【宮】
[006402]02  作＝住【三】【宮】
[006501]01  芽＝牙【三】【宮】＊
<006501>＊  芽＝牙【三】【宮】
[006502]02  覺＝角【明】＊
<006502>＊  覺＝角【明】
<006503>＊  〔釋〕－【三】【宮】
<006504>＊  〔釋〕－【三】【宮】
<006505>＊  〔偈本…薩〕十三字－【三】【宮】
<006506>＊  （（大唐…譯））十四字＝（（唐天竺三藏法師波羅頗迦羅蜜多羅譯））十六字【三】【宮】
<006507>＊  （釋）＋觀【三】【宮】
